Lat,Lon,LatLon
116.84856891632,6.88796716320555,"6.887967163205547,116.84856891632"
116.857616769097,6.87892468732976,"6.878924687329761,116.85761676909749"
116.839521063543,6.87892468732977,"6.878924687329769,116.83952106354252"
116.839521063543,6.89700946464345,"6.897009464643452,116.83952106354252"
116.839521063543,6.91509422828893,"6.915094228288927,116.83952106354252"
116.830473039523,6.88796699206685,"6.8879669920668505,116.83047303952293"
116.812376991489,6.88796682081467,"6.887966820814671,116.8123769914886"
116.794280943461,6.88796664956249,"6.887966649562495,116.79428094346079"
116.830473039523,6.90605176255089,"6.906051762550886,116.83047303952293"
116.830473039523,6.92413651934915,"6.924136519349147,116.83047303952293"
116.830473039523,6.94222126242651,"6.942221262426509,116.83047303952293"
116.821425015505,6.89700929339134,"6.897009293391337,116.82142501550496"
116.821425015505,6.91509405703694,"6.915094057036941,116.82142501550496"
116.821425015505,6.93317880697921,"6.933178806979209,116.82142501550496"
116.821425015505,6.95126354318302,"6.9512635431830185,116.82142501550496"
116.812376991489,6.90605159129883,"6.9060515912988345,116.8123769914886"
116.812376991489,6.92413634809723,"6.924136348097226,116.8123769914886"
116.812376991489,6.94222109117472,"6.942221091174719,116.8123769914886"
116.830473039523,6.96030599174786,"6.960305991747855,116.83047303952293"
116.839522268698,6.9512635423885,"6.951263542388499,116.83952226869835"
116.812376991489,6.9603058204962,"6.960305820496195,116.8123769914886"
116.84856891632,6.90605193368945,"6.90605193368945, 116.84856891632"
116.8576168,6.89700947731367,"6.897009477313673,116.8576168"
